Temps;Mouvement X;Temps;Mouvement Y
0;0.00181627532486996;0;-0.0018764722322035
0.04;0.00061790810021355;0.04;-0.0114584580987743
0.08;-0.000580459124442857;0.08;-0.0330179262985588
0.12;-0.000580459124442857;0.12;-0.0701481215315208
0.16;0.00181627532486996;0.16;-0.130035533197589
0.2;0.00541137699883918;0.2;-0.200702678963549
0.24;0.0090064786728084;0.24;-0.288138299996008
0.28;0.0090064786728084;0.28;-0.392342396294965
0.32;0.0114032131221212;0.32;-0.512117219627101
0.36;0.0173950492454033;0.36;-0.647462769992414
0.4;0.0221885181440288;0.4;-0.798379047390905
0.44;0.0209901509193725;0.44;-0.963668303589252
