Temps;Mouvement X;Temps;Mouvement Y
0;0.06329799089375;0;2.3593203080252
0.0588235;0.388066354634317;0.0588235;2.7220772608668
0.117647;0.770146782564396;0.117647;3.21848151212372
0.1764705;1.2668513388735;0.1764705;3.65760834977407
0.235294;1.7444518737861;0.235294;4.03945777381786
0.2941175;1.97370013054415;0.2941175;4.23038248583975
0.352941;2.39398860126723;0.352941;4.4976770826704
0.4117645;2.94800522176585;0.4117645;4.87952650671419
0.470588;3.38739771388544;0.470588;5.12772863234265
0.5294115;3.65485401343649;0.5294115;5.22319098835359
0.588235;4.1515585697456;0.588235;5.45230064277986
0.6470585;4.59095106186519;0.6470585;5.58594794119519
0.705882;5.08765561817429;0.705882;5.70050276840832
0.7647055;5.33600789632884;0.7647055;5.7386877108127
0.823529;5.83271245263795;0.823529;5.79596512441927
0.8823525;6.31031298755055;0.8823525;5.81505759562146
0.941176;6.78791352246315;0.941176;5.77687265321708
0.9999995;7.26551405737574;0.9999995;5.70050276840832
1.058823;7.49476231413379;1.058823;5.68141029720613
1.1176465;7.87684274206387;1.1176465;5.54776299879081
1.17647;8.29713121278696;1.17647;5.35683828676892
1.2352935;8.75562772630305;1.2352935;5.10863616114046
1.294117;9.06129206864712;1.294117;4.97498886272513
1.3529405;9.42426847518069;1.3529405;4.74587920829886
1.411764;9.9400770528863;1.411764;4.3258448418507
1.4705875;10.3603655236094;1.4705875;4.03945777381786
1.529411;10.5514057375744;1.529411;3.7912556481894
1.5882345;10.9334861655045;1.5882345;3.4284986953478
1.647058;11.2200464864521;1.647058;3.04664927130401
1.7058815;11.3919826790206;1.7058815;2.70298478966461
